fastas,delta,ngen,ordering,kval
['/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_2.fasta.gz'],109598323.2,1,19,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_1.fasta.gz']",111840486.4,2,19,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_1.fasta.gz']",113035264.0,3,19,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_1.fasta.gz']",113892928.0,4,19,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_1.fasta.gz']",114541568.0,5,19,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_2.fasta.gz']",115080166.4,6,19,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_2.fasta.gz']",115454451.2,7,19,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_2.fasta.gz']",115902502.4,8,19,20
['/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_2.fasta.gz'],109602406.4,1,20,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_1.fasta.gz']",111906240.0,2,20,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_1.fasta.gz']",113084736.0,3,20,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_2.fasta.gz']",113897126.4,4,20,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_2.fasta.gz']",114545907.2,5,20,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_2.fasta.gz']",115110873.6,6,20,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_1.fasta.gz']",115478540.8,7,20,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_1.fasta.gz']",115902502.4,8,20,20
['/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_2.fasta.gz'],109560780.8,1,21,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_2.fasta.gz']",111894758.4,2,21,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_1.fasta.gz']",113103321.6,3,21,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_2.fasta.gz']",113935104.0,4,21,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_2.fasta.gz']",114598131.2,5,21,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_1.fasta.gz']",115135910.4,6,21,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_1.fasta.gz']",115575078.4,7,21,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_1.fasta.gz']",115902502.4,8,21,20
['/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_2.fasta.gz'],109590720.0,1,22,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_2.fasta.gz']",111908979.2,2,22,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_1.fasta.gz']",113099072.0,3,22,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_1.fasta.gz']",113700288.0,4,22,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_2.fasta.gz']",114400332.8,5,22,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_1.fasta.gz']",114993856.0,6,22,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_1.fasta.gz']",115454451.2,7,22,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_2.fasta.gz']",115902502.4,8,22,20
['/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_2.fasta.gz'],109560780.8,1,23,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_2.fasta.gz']",111894758.4,2,23,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_2.fasta.gz']",113079936.0,3,23,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_1.fasta.gz']",113935104.0,4,23,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_1.fasta.gz']",114551360.0,5,23,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_1.fasta.gz']",114963558.4,6,23,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_2.fasta.gz']",115478540.8,7,23,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_1.fasta.gz']",115902502.4,8,23,20
['/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_1.fasta.gz'],109605836.8,1,24,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_2.fasta.gz']",111859353.6,2,24,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_2.fasta.gz']",113059468.8,3,24,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_2.fasta.gz']",113912819.2,4,24,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_1.fasta.gz']",114527091.2,5,24,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_1.fasta.gz']",115083264.0,6,24,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_1.fasta.gz']",115562572.8,7,24,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_2.fasta.gz']",115902502.4,8,24,20
['/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_2.fasta.gz'],109590720.0,1,25,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_1.fasta.gz']",111318630.4,2,25,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_2.fasta.gz']",112856793.6,3,25,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_2.fasta.gz']",113746112.0,4,25,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_2.fasta.gz']",114443340.8,5,25,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_1.fasta.gz']",115017689.6,6,25,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_1.fasta.gz']",115498611.2,7,25,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_1.fasta.gz']",115902502.4,8,25,20
['/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_2.fasta.gz'],109590720.0,1,26,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_2.fasta.gz']",111908979.2,2,26,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_1.fasta.gz']",112769996.8,3,26,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_1.fasta.gz']",113700288.0,4,26,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_1.fasta.gz']",114376076.8,5,26,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_1.fasta.gz']",114973683.2,6,26,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_2.fasta.gz']",115484889.6,7,26,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_2.fasta.gz']",115902502.4,8,26,20
['/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_1.fasta.gz'],109581043.2,1,27,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_2.fasta.gz']",111318630.4,2,27,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_1.fasta.gz']",112808499.2,3,27,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_2.fasta.gz']",113706214.4,4,27,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_2.fasta.gz']",114400332.8,5,27,20
"['/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG00733_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_1.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_NA19240_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG02818_2.fasta.gz', '/data/blangme2/jessica/HGSVC2/consensus/allvar_HG03486_1.fasta.gz']",114993856.0,6,27,20
