"ngen","mean","sd"
1,109441653.546667,150456.794879008
2,111829632.995556,141245.699756961
3,113065803.52,84116.1591385591
4,113918052.48,94625.1722668266
5,114583224.746667,101654.863575534
6,115145117.084444,112409.035918063
7,115625188.124444,126395.24994149
8,116041676.8,139562.613864279
