"ngenomes","canon","type","scaled","metric","value","WallClock_sec"
30,1,"time","unscaled","delta",45.83,45.72
31,1,"time","unscaled","delta",47.92,48.14
32,1,"time","unscaled","delta",49.07,48.95
33,1,"time","unscaled","delta",51.42,51.29
34,1,"time","unscaled","delta",53.64,53.61
35,1,"time","unscaled","delta",55.46,55.37
36,1,"time","unscaled","delta",56.88,56.77
37,1,"time","unscaled","delta",58.17,58.03
38,1,"time","unscaled","delta",59.4,59.26
39,1,"time","unscaled","delta",60.84,60.63
40,1,"time","unscaled","delta",62.25,62.01
41,1,"time","unscaled","delta",63.13,62.93
42,1,"time","unscaled","delta",64.61,64.26
43,1,"time","unscaled","delta",66.07,65.86
44,1,"time","unscaled","delta",67.42,67.09
45,1,"time","unscaled","delta",68.47,68.14
46,1,"time","unscaled","delta",70.44,70.19
47,1,"time","unscaled","delta",73,72.59
48,1,"time","unscaled","delta",74.65,74.39
49,1,"time","unscaled","delta",76.25,75.72
50,1,"time","unscaled","delta",77.27,76.83
