"delta","ngen","ordering","kval","dataset"
120972710.4,31,3,20,"Pangenome"
121064652.8,32,3,20,"Pangenome"
121234163.2,33,3,20,"Pangenome"
121402112,34,3,20,"Pangenome"
121481766.4,35,3,20,"Pangenome"
121625766.4,36,3,20,"Pangenome"
121772019.2,37,3,20,"Pangenome"
121907558.4,38,3,20,"Pangenome"
122065408,39,3,20,"Pangenome"
122191411.2,40,3,20,"Pangenome"
122264716.8,41,3,20,"Pangenome"
122330931.2,42,3,20,"Pangenome"
122449164.8,43,3,20,"Pangenome"
122579737.6,44,3,20,"Pangenome"
122625843.2,45,3,20,"Pangenome"
122760896,46,3,20,"Pangenome"
122838016,47,3,20,"Pangenome"
122955955.2,48,3,20,"Pangenome"
123070540.8,49,3,20,"Pangenome"
123130470.4,50,3,20,"Pangenome"
123186022.4,51,3,20,"Pangenome"
123263270.4,52,3,20,"Pangenome"
123392332.8,53,3,20,"Pangenome"
123514700.8,54,3,20,"Pangenome"
123584051.2,55,3,20,"Pangenome"
123683660.8,56,3,20,"Pangenome"
109299520,1,4,20,"Pangenome"
111844697.6,2,4,20,"Pangenome"
113142720,3,4,20,"Pangenome"
114024896,4,4,20,"Pangenome"
114638118.4,5,4,20,"Pangenome"
115288307.2,6,4,20,"Pangenome"
115669299.2,7,4,20,"Pangenome"
116164505.6,8,4,20,"Pangenome"
116573107.2,9,4,20,"Pangenome"
116835699.2,10,4,20,"Pangenome"
117204044.8,11,4,20,"Pangenome"
117540428.8,12,4,20,"Pangenome"
117741542.4,13,4,20,"Pangenome"
118034675.2,14,4,20,"Pangenome"
118307072,15,4,20,"Pangenome"
118474816,16,4,20,"Pangenome"
118742067.2,17,4,20,"Pangenome"
118974464,18,4,20,"Pangenome"
119212928,19,4,20,"Pangenome"
119442969.6,20,4,20,"Pangenome"
119593216,21,4,20,"Pangenome"
119807872,22,4,20,"Pangenome"
119987635.2,23,4,20,"Pangenome"
120182873.6,24,4,20,"Pangenome"
120364672,25,4,20,"Pangenome"
120554969.6,26,4,20,"Pangenome"
120659430.4,27,4,20,"Pangenome"
120823948.8,28,4,20,"Pangenome"
120913830.4,29,4,20,"Pangenome"
121013593.6,30,4,20,"Pangenome"
121170201.6,31,4,20,"Pangenome"
121270835.2,32,4,20,"Pangenome"
121364211.2,33,4,20,"Pangenome"
121452979.2,34,4,20,"Pangenome"
121506342.4,35,4,20,"Pangenome"
121652569.6,36,4,20,"Pangenome"
121808448,37,4,20,"Pangenome"
121942950.4,38,4,20,"Pangenome"
122018700.8,39,4,20,"Pangenome"
122167948.8,40,4,20,"Pangenome"
122249216,41,4,20,"Pangenome"
122319193.6,42,4,20,"Pangenome"
122433139.2,43,4,20,"Pangenome"
122506880,44,4,20,"Pangenome"
122628915.2,45,4,20,"Pangenome"
122750284.8,46,4,20,"Pangenome"
122869504,47,4,20,"Pangenome"
122970803.2,48,4,20,"Pangenome"
123034521.6,49,4,20,"Pangenome"
123146163.2,50,4,20,"Pangenome"
123214950.4,51,4,20,"Pangenome"
123332096,52,4,20,"Pangenome"
123461849.6,53,4,20,"Pangenome"
123561203.2,54,4,20,"Pangenome"
123638041.6,55,4,20,"Pangenome"
123683660.8,56,4,20,"Pangenome"
109237273.6,1,5,20,"Pangenome"
111799449.6,2,5,20,"Pangenome"
112817356.8,3,5,20,"Pangenome"
113736012.8,4,5,20,"Pangenome"
114519436.8,5,5,20,"Pangenome"
115173184,6,5,20,"Pangenome"
115522700.8,7,5,20,"Pangenome"
115969984,8,5,20,"Pangenome"
116253670.4,9,5,20,"Pangenome"
116703820.8,10,5,20,"Pangenome"
117097203.2,11,5,20,"Pangenome"
117482585.6,12,5,20,"Pangenome"
117665612.8,13,5,20,"Pangenome"
117993305.6,14,5,20,"Pangenome"
