"ordering","ngen","delta","kval","dataset"
3,30,120684275.2,20,"Pangenome"
3,31,120770944,20,"Pangenome"
3,32,120925696,20,"Pangenome"
3,33,121095270.4,20,"Pangenome"
3,34,121274188.8,20,"Pangenome"
3,35,121366553.6,20,"Pangenome"
3,36,121442688,20,"Pangenome"
3,37,121521536,20,"Pangenome"
3,38,121689433.6,20,"Pangenome"
3,39,121838873.6,20,"Pangenome"
3,40,121984896,20,"Pangenome"
3,41,122066585.6,20,"Pangenome"
3,42,122138624,20,"Pangenome"
3,43,122282291.2,20,"Pangenome"
3,44,122369049.6,20,"Pangenome"
3,45,122497241.6,20,"Pangenome"
3,46,122624934.4,20,"Pangenome"
3,47,122749721.6,20,"Pangenome"
3,48,122881152,20,"Pangenome"
3,49,122996300.8,20,"Pangenome"
3,50,123125004.8,20,"Pangenome"
3,51,123239475.2,20,"Pangenome"
3,52,123298137.6,20,"Pangenome"
3,53,123397068.8,20,"Pangenome"
3,54,123462617.6,20,"Pangenome"
3,55,123571596.8,20,"Pangenome"
3,56,123683660.8,20,"Pangenome"
4,1,109344051.2,20,"Pangenome"
4,2,111848486.4,20,"Pangenome"
4,3,113070425.6,20,"Pangenome"
4,4,114008204.8,20,"Pangenome"
4,5,114550182.4,20,"Pangenome"
4,6,115196480,20,"Pangenome"
4,7,115501632,20,"Pangenome"
4,8,115965606.4,20,"Pangenome"
4,9,116238566.4,20,"Pangenome"
4,10,116655014.4,20,"Pangenome"
4,11,116863001.6,20,"Pangenome"
4,12,117216588.8,20,"Pangenome"
4,13,117554713.6,20,"Pangenome"
4,14,117860672,20,"Pangenome"
4,15,118179008,20,"Pangenome"
4,16,118454028.8,20,"Pangenome"
4,17,118623488,20,"Pangenome"
4,18,118870643.2,20,"Pangenome"
4,19,119011392,20,"Pangenome"
4,20,119253209.6,20,"Pangenome"
4,21,119469043.2,20,"Pangenome"
4,22,119696230.4,20,"Pangenome"
4,23,119896972.8,20,"Pangenome"
4,24,120103232,20,"Pangenome"
4,25,120219289.6,20,"Pangenome"
4,26,120334707.2,20,"Pangenome"
4,27,120443596.8,20,"Pangenome"
4,28,120616499.2,20,"Pangenome"
4,29,120772633.6,20,"Pangenome"
4,30,120872320,20,"Pangenome"
4,31,121057932.8,20,"Pangenome"
4,32,121171942.4,20,"Pangenome"
4,33,121310041.6,20,"Pangenome"
4,34,121400742.4,20,"Pangenome"
4,35,121475571.2,20,"Pangenome"
4,36,121551923.2,20,"Pangenome"
4,37,121704601.6,20,"Pangenome"
4,38,121848524.8,20,"Pangenome"
4,39,121987443.2,20,"Pangenome"
4,40,122134323.2,20,"Pangenome"
4,41,122282534.4,20,"Pangenome"
4,42,122371648,20,"Pangenome"
4,43,122447065.6,20,"Pangenome"
4,44,122573056,20,"Pangenome"
4,45,122628838.4,20,"Pangenome"
4,46,122754624,20,"Pangenome"
4,47,122887667.2,20,"Pangenome"
4,48,123004300.8,20,"Pangenome"
4,49,123080409.6,20,"Pangenome"
4,50,123148249.6,20,"Pangenome"
4,51,123263820.8,20,"Pangenome"
4,52,123367129.6,20,"Pangenome"
4,53,123436480,20,"Pangenome"
4,54,123546112,20,"Pangenome"
4,55,123581542.4,20,"Pangenome"
4,56,123683660.8,20,"Pangenome"
5,1,109355302.4,20,"Pangenome"
5,2,111823219.2,20,"Pangenome"
5,3,113055027.2,20,"Pangenome"
5,4,113951667.2,20,"Pangenome"
5,5,114668032,20,"Pangenome"
5,6,115291699.2,20,"Pangenome"
5,7,115766732.8,20,"Pangenome"
5,8,116204057.6,20,"Pangenome"
5,9,116636723.2,20,"Pangenome"
5,10,117001574.4,20,"Pangenome"
5,11,117342848,20,"Pangenome"
5,12,117612646.4,20,"Pangenome"
5,13,117896320,20,"Pangenome"
5,14,118157196.8,20,"Pangenome"
5,15,118345177.6,20,"Pangenome"
5,16,118528448,20,"Pangenome"
5,17,118759436.8,20,"Pangenome"
5,18,118907430.4,20,"Pangenome"
5,19,119048409.6,20,"Pangenome"
5,20,119188454.4,20,"Pangenome"
5,21,119289920,20,"Pangenome"
5,22,119513484.8,20,"Pangenome"
5,23,119750848,20,"Pangenome"
5,24,119966259.2,20,"Pangenome"
5,25,120165606.4,20,"Pangenome"
5,26,120343628.8,20,"Pangenome"
5,27,120439884.8,20,"Pangenome"
5,28,120519155.2,20,"Pangenome"
5,29,120606323.2,20,"Pangenome"
5,30,120680742.4,20,"Pangenome"
5,31,120872588.8,20,"Pangenome"
5,32,121033139.2,20,"Pangenome"
5,33,121180224,20,"Pangenome"
5,34,121353075.2,20,"Pangenome"
5,35,121500838.4,20,"Pangenome"
5,36,121642124.8,20,"Pangenome"
5,37,121750886.4,20,"Pangenome"
5,38,121888755.2,20,"Pangenome"
5,39,121976140.8,20,"Pangenome"
5,40,122051033.6,20,"Pangenome"
5,41,122184422.4,20,"Pangenome"
5,42,122270566.4,20,"Pangenome"
5,43,122346073.6,20,"Pangenome"
5,44,122412275.2,20,"Pangenome"
5,45,122493734.4,20,"Pangenome"
5,46,122635212.8,20,"Pangenome"
5,47,122702784,20,"Pangenome"
5,48,122779276.8,20,"Pangenome"
5,49,122901747.2,20,"Pangenome"
5,50,123039859.2,20,"Pangenome"
5,51,123168640,20,"Pangenome"
5,52,123286233.6,20,"Pangenome"
5,53,123400934.4,20,"Pangenome"
5,54,123465958.4,20,"Pangenome"
5,55,123580915.2,20,"Pangenome"
5,56,123683660.8,20,"Pangenome"
6,1,109268416,20,"Pangenome"
6,2,111757030.4,20,"Pangenome"
6,3,113036006.4,20,"Pangenome"
6,4,113968396.8,20,"Pangenome"
6,5,114657254.4,20,"Pangenome"
6,6,115291328,20,"Pangenome"
6,7,115792217.6,20,"Pangenome"
6,8,116198963.2,20,"Pangenome"
6,9,116639040,20,"Pangenome"
6,10,117025152,20,"Pangenome"
6,11,117273651.2,20,"Pangenome"
6,12,117590579.2,20,"Pangenome"
6,13,117890598.4,20,"Pangenome"
6,14,118165606.4,20,"Pangenome"
6,15,118328371.2,20,"Pangenome"
6,16,118562496,20,"Pangenome"
6,17,118796582.4,20,"Pangenome"
6,18,119035417.6,20,"Pangenome"
6,19,119275008,20,"Pangenome"
6,20,119394150.4,20,"Pangenome"
6,21,119600192,20,"Pangenome"
6,22,119741081.6,20,"Pangenome"
6,23,119932326.4,20,"Pangenome"
6,24,120057817.6,20,"Pangenome"
6,25,120235302.4,20,"Pangenome"
6,26,120410227.2,20,"Pangenome"
6,27,120526387.2,20,"Pangenome"
6,28,120609177.6,20,"Pangenome"
6,29,120722060.8,20,"Pangenome"
6,30,120881036.8,20,"Pangenome"
6,31,121035827.2,20,"Pangenome"
6,32,121181171.2,20,"Pangenome"
6,33,121346035.2,20,"Pangenome"
6,34,121507699.2,20,"Pangenome"
6,35,121670988.8,20,"Pangenome"
6,36,121821683.2,20,"Pangenome"
6,37,121906675.2,20,"Pangenome"
6,38,122001177.6,20,"Pangenome"
6,39,122091980.8,20,"Pangenome"
6,40,122175603.2,20,"Pangenome"
6,41,122301120,20,"Pangenome"
6,42,122391641.6,20,"Pangenome"
6,43,122460915.2,20,"Pangenome"
6,44,122583910.4,20,"Pangenome"
6,45,122654195.2,20,"Pangenome"
6,46,122741222.4,20,"Pangenome"
6,47,122812761.6,20,"Pangenome"
6,48,122921740.8,20,"Pangenome"
6,49,123047961.6,20,"Pangenome"
6,50,123162316.8,20,"Pangenome"
6,51,123223872,20,"Pangenome"
6,52,123336614.4,20,"Pangenome"
6,53,123397529.6,20,"Pangenome"
6,54,123470297.6,20,"Pangenome"
6,55,123571596.8,20,"Pangenome"
6,56,123683660.8,20,"Pangenome"
7,1,109306982.4,20,"Pangenome"
7,2,111620595.2,20,"Pangenome"
7,3,112622336,20,"Pangenome"
7,4,113270937.6,20,"Pangenome"
7,5,114230348.8,20,"Pangenome"
7,6,114881638.4,20,"Pangenome"
7,7,115252851.2,20,"Pangenome"
7,8,115525401.6,20,"Pangenome"
7,9,115778035.2,20,"Pangenome"
7,10,115957529.6,20,"Pangenome"
7,11,116471052.8,20,"Pangenome"
7,12,116907046.4,20,"Pangenome"
7,13,117070617.6,20,"Pangenome"
7,14,117197017.6,20,"Pangenome"
7,15,117362419.2,20,"Pangenome"
7,16,117719360,20,"Pangenome"
7,17,118044633.6,20,"Pangenome"
7,18,118187968,20,"Pangenome"
7,19,118296947.2,20,"Pangenome"
7,20,118586700.8,20,"Pangenome"
7,21,118876454.4,20,"Pangenome"
7,22,119152243.2,20,"Pangenome"
7,23,119388492.8,20,"Pangenome"
7,24,119630489.6,20,"Pangenome"
7,25,119848768,20,"Pangenome"
7,26,119950182.4,20,"Pangenome"
7,27,120145881.6,20,"Pangenome"
7,28,120342374.4,20,"Pangenome"
7,29,120400025.6,20,"Pangenome"
7,30,120598182.4,20,"Pangenome"
7,31,120783091.2,20,"Pangenome"
7,32,120956172.8,20,"Pangenome"
7,33,121119488,20,"Pangenome"
7,34,121264934.4,20,"Pangenome"
7,35,121430016,20,"Pangenome"
7,36,121519590.4,20,"Pangenome"
7,37,121669043.2,20,"Pangenome"
7,38,121804761.6,20,"Pangenome"
7,39,121965836.8,20,"Pangenome"
7,40,122109772.8,20,"Pangenome"
7,41,122238796.8,20,"Pangenome"
7,42,122356697.6,20,"Pangenome"
7,43,122430272,20,"Pangenome"
7,44,122552115.2,20,"Pangenome"
7,45,122677964.8,20,"Pangenome"
7,46,122750054.4,20,"Pangenome"
7,47,122819929.6,20,"Pangenome"
7,48,122967744,20,"Pangenome"
7,49,123088678.4,20,"Pangenome"
7,50,123212428.8,20,"Pangenome"
7,51,123269145.6,20,"Pangenome"
7,52,123326553.6,20,"Pangenome"
7,53,123397619.2,20,"Pangenome"
7,54,123507353.6,20,"Pangenome"
7,55,123617497.6,20,"Pangenome"
7,56,123683660.8,20,"Pangenome"
8,1,109282828.8,20,"Pangenome"
8,2,111320396.8,20,"Pangenome"
8,3,112853580.8,20,"Pangenome"
8,4,113506124.8,20,"Pangenome"
8,5,114298854.4,20,"Pangenome"
8,6,114690982.4,20,"Pangenome"
8,7,115349056,20,"Pangenome"
8,8,115900096,20,"Pangenome"
8,9,116367449.6,20,"Pangenome"
8,10,116601113.6,20,"Pangenome"
8,11,116808064,20,"Pangenome"
8,12,117176729.6,20,"Pangenome"
8,13,117541619.2,20,"Pangenome"
8,14,117853132.8,20,"Pangenome"
8,15,118145881.6,20,"Pangenome"
8,16,118399206.4,20,"Pangenome"
8,17,118655641.6,20,"Pangenome"
8,18,118797286.4,20,"Pangenome"
8,19,119077862.4,20,"Pangenome"
8,20,119294144,20,"Pangenome"
8,21,119421504,20,"Pangenome"
8,22,119518195.2,20,"Pangenome"
8,23,119721190.4,20,"Pangenome"
8,24,119826764.8,20,"Pangenome"
8,25,120027980.8,20,"Pangenome"
8,26,120222809.6,20,"Pangenome"
8,27,120429619.2,20,"Pangenome"
8,28,120582374.4,20,"Pangenome"
8,29,120683532.8,20,"Pangenome"
8,30,120860672,20,"Pangenome"
8,31,120953011.2,20,"Pangenome"
8,32,121124582.4,20,"Pangenome"
8,33,121296601.6,20,"Pangenome"
8,34,121442534.4,20,"Pangenome"
8,35,121553164.8,20,"Pangenome"
8,36,121645363.2,20,"Pangenome"
8,37,121698649.6,20,"Pangenome"
8,38,121851929.6,20,"Pangenome"
8,39,121989273.6,20,"Pangenome"
8,40,122123814.4,20,"Pangenome"
8,41,122251724.8,20,"Pangenome"
8,42,122344524.8,20,"Pangenome"
8,43,122411456,20,"Pangenome"
8,44,122540364.8,20,"Pangenome"
8,45,122674099.2,20,"Pangenome"
8,46,122748812.8,20,"Pangenome"
8,47,122826816,20,"Pangenome"
8,48,122886080,20,"Pangenome"
8,49,122999424,20,"Pangenome"
8,50,123122137.6,20,"Pangenome"
8,51,123233433.6,20,"Pangenome"
8,52,123344921.6,20,"Pangenome"
8,53,123403635.2,20,"Pangenome"
8,54,123522854.4,20,"Pangenome"
8,55,123630464,20,"Pangenome"
8,56,123683660.8,20,"Pangenome"
9,1,109271206.4,20,"Pangenome"
9,2,111838668.8,20,"Pangenome"
9,3,112923289.6,20,"Pangenome"
9,4,113592294.4,20,"Pangenome"
9,5,114417587.2,20,"Pangenome"
9,6,115069209.6,20,"Pangenome"
9,7,115409766.4,20,"Pangenome"
9,8,115935206.4,20,"Pangenome"
9,9,116218240,20,"Pangenome"
9,10,116680806.4,20,"Pangenome"
9,11,116885824,20,"Pangenome"
9,12,117230272,20,"Pangenome"
9,13,117544537.6,20,"Pangenome"
9,14,117705932.8,20,"Pangenome"
9,15,117848550.4,20,"Pangenome"
9,16,117984294.4,20,"Pangenome"
9,17,118299993.6,20,"Pangenome"
9,18,118432396.8,20,"Pangenome"
9,19,118714662.4,20,"Pangenome"
9,20,118841689.6,20,"Pangenome"
9,21,119126028.8,20,"Pangenome"
9,22,119390092.8,20,"Pangenome"
9,23,119611264,20,"Pangenome"
9,24,119825164.8,20,"Pangenome"
9,25,119938931.2,20,"Pangenome"
9,26,120176908.8,20,"Pangenome"
9,27,120371712,20,"Pangenome"
9,28,120437568,20,"Pangenome"
9,29,120627174.4,20,"Pangenome"
9,30,120814246.4,20,"Pangenome"
9,31,121003456,20,"Pangenome"
9,32,121172876.8,20,"Pangenome"
9,33,121305587.2,20,"Pangenome"
9,34,121458892.8,20,"Pangenome"
9,35,121554931.2,20,"Pangenome"
9,36,121703436.8,20,"Pangenome"
9,37,121849996.8,20,"Pangenome"
9,38,121908672,20,"Pangenome"
9,39,122034240,20,"Pangenome"
9,40,122169510.4,20,"Pangenome"
9,41,122295488,20,"Pangenome"
9,42,122422924.8,20,"Pangenome"
9,43,122506240,20,"Pangenome"
9,44,122625510.4,20,"Pangenome"
9,45,122739891.2,20,"Pangenome"
9,46,122860198.4,20,"Pangenome"
9,47,122934451.2,20,"Pangenome"
9,48,122997862.4,20,"Pangenome"
9,49,123101312,20,"Pangenome"
9,50,123162790.4,20,"Pangenome"
9,51,123272768,20,"Pangenome"
9,52,123383091.2,20,"Pangenome"
9,53,123452185.6,20,"Pangenome"
9,54,123516083.2,20,"Pangenome"
9,55,123566720,20,"Pangenome"
9,56,123683660.8,20,"Pangenome"
10,1,109282828.8,20,"Pangenome"
10,2,111630988.8,20,"Pangenome"
10,3,112654028.8,20,"Pangenome"
10,4,113292582.4,20,"Pangenome"
10,5,113755737.6,20,"Pangenome"
10,6,114578150.4,20,"Pangenome"
10,7,114901350.4,20,"Pangenome"
10,8,115503180.8,20,"Pangenome"
10,9,115991731.2,20,"Pangenome"
10,10,116486297.6,20,"Pangenome"
10,11,116855948.8,20,"Pangenome"
10,12,117232870.4,20,"Pangenome"
10,13,117427238.4,20,"Pangenome"
10,14,117591526.4,20,"Pangenome"
10,15,117943795.2,20,"Pangenome"
10,16,118214630.4,20,"Pangenome"
10,17,118350118.4,20,"Pangenome"
10,18,118619929.6,20,"Pangenome"
10,19,118724889.6,20,"Pangenome"
10,20,119002368,20,"Pangenome"
10,21,119116838.4,20,"Pangenome"
10,22,119349900.8,20,"Pangenome"
10,23,119578611.2,20,"Pangenome"
10,24,119681945.6,20,"Pangenome"
10,25,119898880,20,"Pangenome"
10,26,120003520,20,"Pangenome"
10,27,120191628.8,20,"Pangenome"
10,28,120256128,20,"Pangenome"
10,29,120471027.2,20,"Pangenome"
10,30,120651033.6,20,"Pangenome"
10,31,120830400,20,"Pangenome"
10,32,120997363.2,20,"Pangenome"
10,33,121172851.2,20,"Pangenome"
10,34,121242585.6,20,"Pangenome"
